1 0 0 0 2 0 1 1
2 0 0 0 1 4 1 3
3 1 0 0 0 0 0 1
4 1 0 0 0 1 0 0
5 1 0 0 0 0 0 0
6 1 0 0 0 1 1 1
7 1 0 0 0 0 0 0
8 0 0 0 3 5 2 4
9 0 0 0 0 0 0 0
10 0 0 0 0 0 3 2
11 1 0 0 0 0 0 0
12 0 0 0 0 1 1 0
13 0 0 0 2 2 6 5
14 0 0 0 4 2 2 2
15 1 0 0 0 3 4 5
16 1 0 1 0 0 0 0
17 0 0 1 0 0 2 1
18 1 0 0 0 1 3 3
19 0 0 1 3 2 0 2
20 1 0 0 0 0 0 0
21 0 0 0 0 0 1 0
22 0 0 0 0 0 0 0
23 0 0 0 8 9 5 2
24 0 0 0 1 1 2 2
25 1 0 0 0 0 1 0
26 1 0 0 0 2 2 2
27 0 0 0 0 2 0 0
28 1 0 0 1 0 0 0
29 1 0 0 3 4 11 5
30 0 0 0 0 5 2 2
31 0 0 0 1 0 0 0
32 0 0 0 12 7 7 5
33 0 0 0 0 9 6 3
34 0 0 0 1 5 4 8
35 0 0 0 3 12 14 16
36 0 0 1 0 4 0 1
37 0 0 1 1 15 10 1
38 0 0 0 2 2 2 2
39 0 0 0 0 2 3 1
40 0 0 0 2 3 2 2
41 0 0 0 2 7 3 4
42 0 0 0 0 0 0 0
43 0 0 0 0 3 1 0
44 0 0 0 0 0 0 0
45 0 0 0 0 1 0 0
46 0 0 0 5 6 2 5
47 1 0 0 0 0 0 1
48 0 0 0 11 5 2 6
49 1 0 0 0 0 0 0
50 1 0 0 0 0 0 0
51 1 0 0 0 0 0 0
52 1 0 0 2 2 2 3
53 1 1 0 0 1 0 0
54 0 0 0 0 2 0 1
55 0 0 0 0 0 3 4
56 1 1 0 1 1 1 4
57 0 1 0 1 0 0 0
58 0 1 0 0 0 0 0
59 0 1 0 0 0 1 1
60 1 1 0 1 0 1 0
61 0 1 0 1 0 1 0
62 0 1 0 1 2 1 2
63 1 1 0 0 0 0 0
64 1 1 0 2 1 0 3
65 1 1 0 2 5 0 0
66 0 1 0 0 0 0 0
67 0 1 0 2 2 0 2
68 0 1 0 0 0 0 0
69 1 1 0 0 0 0 0
70 1 1 0 0 0 0 0
71 1 1 0 4 1 3 2
72 1 1 0 3 2 0 1
73 1 1 0 0 1 3 4
74 1 0 1 0 0 0 0
75 1 0 1 1 1 3 9
76 0 0 1 2 0 0 0
77 0 1 0 0 0 1 15
78 1 1 0 0 0 0 0
79 1 1 0 0 0 0 0
80 1 1 0 0 0 1 2
81 1 1 0 1 0 1 1
82 1 1 0 0 1 2 1
83 0 1 0 1 0 2 1
84 0 1 0 0 0 2 1
85 0 1 0 0 4 2 1
86 0 1 0 1 5 7 4
87 0 1 0 0 1 2 1
88 1 1 0 0 0 0 1
89 0 1 0 4 7 10 6
90 0 1 0 3 2 0 1
91 0 1 0 6 5 4 1
92 1 1 0 1 1 0 0
93 0 1 0 0 0 0 0
94 0 1 0 0 0 0 0
95 1 1 0 2 0 1 1
96 0 1 0 0 0 2 0
97 0 1 0 0 0 0 0
98 1 1 0 0 1 7 11
99 1 1 0 0 1 7 7
100 0 0 1 0 0 0 0
101 0 0 1 0 0 0 0
102 0 0 1 3 1 0 1
103 0 0 1 1 1 0 0
104 1 1 0 1 1 0 0
105 1 1 0 1 3 2 3
106 0 1 0 1 2 2 6
107 1 1 0 0 0 0 0
108 0 1 0 0 0 0 0
109 1 1 0 0 0 0 0
110 0 1 0 0 5 0 0
111 0 0 0 0 0 1 1
112 1 0 0 0 0 0 0
113 1 1 0 0 0 0 0
114 1 1 0 0 0 2 3
115 0 1 0 1 1 1 1
116 0 1 0 0 0 2 1
117 1 1 0 0 1 2 1
118 1 1 0 0 0 0 0
119 0 0 1 1 0 0 0
120 0 1 0 0 0 0 0
121 0 1 0 1 0 5 1
122 0 1 0 2 6 7 4
123 1 1 0 5 8 7 5
124 1 1 0 0 0 2 2
125 1 1 0 0 0 0 0
126 1 1 0 0 0 0 0
127 1 1 0 2 1 2 0
128 0 0 1 2 4 1 4
129 1 0 1 0 1 0 0
